XList	RList	Discon	LRef	SRef	MachList	AltList	X_Seg	ALPHA
0	0	6.5	2.7	5.725552611	0.5	0	2.0	0
0.1	0.3045	7.5			0.9	2000	2.1	0.5
0.2	0.4255	13.1			1	4000	3.5	1
0.3	0.5145	14.1			1.1	4000	4.5	1.5
0.4	0.5865	23			1.2	4000	5.5	2
0.5	0.647	24.5			1.3	4000	6.5	2.5
0.6	0.69955				1.4	4000	7.5	3
0.7	0.745				1.5	4000	9.5	3.5
0.8	0.785				1.6	4000	11.5	4
0.9	0.82				1.7	4000	12.5	
1	0.8515				1.8	4000	13.1	
1.1	0.879				1.9	4000	14.1	
1.2	0.903				2	4000	16.0	
1.3	0.924				2.5	4000	18.0	
1.4	0.9425				3	4000	20.0	
1.5	0.958				3.5	4000	22.0	
1.6	0.971				4	4000	23.0	
1.7	0.9815				4.5	4000	24.5	
1.8	0.9895				5	4000	26.0	
1.9	0.99						28.2	
2	0.9925							
2.1	1							
3.5	1							
4.5	1							
5.5	1							
6.5	1							
7.5	0.75							
9.5	0.75							
11.5	0.75							
12.5	0.75							
13.1	0.75							
14.1	1							
16	1							
18	1							
20	1							
22	1							
23	1							
24.5	1.35							
26	1.35							
28.2	1.35							
								
								
