XList	RList	Discon	LRef	SRef	MachList	AltList	X_Seg	ALPHA
0.000	0	3.923	1.5	1.767145868	0.5	0	2.19	0
0.011	0.029				0.9	2000	3.64	1
0.034	0.056				1	4000	3.901	2
0.057	0.075				1.1	4000	3.923	3
0.081	0.091				1.2	4000	5.215	4
0.106	0.106				1.3	4000	5.688	5
0.130	0.12				1.4	4000	8.775	6
0.154	0.13				1.5	4000	9.068	7
0.350	0.225				1.6	4000	9.322	8
0.586	0.327				2	4000		
0.959	0.471				2.5	4000		
1.373	0.594				3	4000		
1.644	0.655				4	4000		
1.933	0.707				4.5	4000		
2.139	0.736				5	4000		
2.190	0.742				6	4000		
2.333	0.753				7	4000		
2.364	0.754				8	4000		
3.640	0.754				9	4000		
3.901	0.754				10	4000		
3.923	0.75							
5.215	0.75							
5.688	0.75							
8.775	1.25							
9.068	0.75							
9.322	0.75							
								
								
								
								
								
