VARIABLES=X/D,CP(0),CP(30),CP(60),CP(90),CP(120),CP(150),CP(180)
ZONE T="BODY CP AT MACH=  2.36 ALPHA=  0.00"
      3.135000  -0.05989  -0.06099  -0.06133  -0.05547  -0.04182  -0.02629  -0.01930
      3.225000  -0.05656  -0.05799  -0.05912  -0.05410  -0.04109  -0.02590  -0.01901
      3.337500  -0.05224  -0.05407  -0.05615  -0.05214  -0.03987  -0.02509  -0.01831
      3.472500  -0.04756  -0.04985  -0.05300  -0.05014  -0.03873  -0.02442  -0.01778
      3.630000  -0.04244  -0.04521  -0.04953  -0.04792  -0.03744  -0.02365  -0.01717
      3.810000  -0.03714  -0.04043  -0.04596  -0.04563  -0.03614  -0.02290  -0.01660
      4.012500  -0.03177  -0.03556  -0.04229  -0.04326  -0.03476  -0.02210  -0.01598
      4.237500  -0.02651  -0.03079  -0.03866  -0.04086  -0.03333  -0.02126  -0.01533
      4.485000  -0.02158  -0.02629  -0.03520  -0.03853  -0.03190  -0.02040  -0.01466
      4.755000  -0.01702  -0.02210  -0.03189  -0.03621  -0.03039  -0.01943  -0.01388
      5.047500  -0.01298  -0.01835  -0.02885  -0.03398  -0.02887  -0.01838  -0.01301
      5.362500  -0.00943  -0.01502  -0.02603  -0.03178  -0.02723  -0.01717  -0.01195
      5.700000  -0.00652  -0.01223  -0.02357  -0.02974  -0.02562  -0.01589  -0.01082
      6.060000  -0.00411  -0.00987  -0.02136  -0.02777  -0.02393  -0.01447  -0.00950
      6.442501  -0.00224  -0.00799  -0.01948  -0.02595  -0.02228  -0.01300  -0.00811
      6.847501  -0.00085  -0.00654  -0.01791  -0.02432  -0.02070  -0.01152  -0.00670
      7.275001   0.00017  -0.00542  -0.01658  -0.02285  -0.01918  -0.01005  -0.00525
      7.725000   0.00084  -0.00464  -0.01556  -0.02160  -0.01783  -0.00869  -0.00391
      8.197500   0.00131  -0.00405  -0.01471  -0.02050  -0.01659  -0.00741  -0.00264
      8.692500   0.00166  -0.00359  -0.01400  -0.01955  -0.01548  -0.00624  -0.00145
      9.210000   0.00199  -0.00316  -0.01334  -0.01867  -0.01446  -0.00514  -0.00033
      9.750000   0.00229  -0.00278  -0.01279  -0.01793  -0.01357  -0.00418   0.00065
     10.000000   0.00228  -0.00276  -0.01269  -0.01776  -0.01335  -0.00393   0.00091
ZONE T="BODY CP AT MACH=  2.36 ALPHA=  8.00"
      0.000000   0.15847   0.16771   0.20036   0.26502   0.35830   0.44944   0.48856
      0.027563   0.15468   0.16380   0.19611   0.26028   0.35303   0.44378   0.48276
      0.036025   0.15352   0.16259   0.19476   0.25874   0.35131   0.44194   0.48088
      0.047066   0.15206   0.16107   0.19307   0.25682   0.34916   0.43963   0.47852
      0.061462   0.15011   0.15904   0.19084   0.25430   0.34634   0.43660   0.47541
      0.080210   0.14761   0.15644   0.18797   0.25105   0.34271   0.43270   0.47142
      0.104591   0.14436   0.15307   0.18426   0.24685   0.33801   0.42765   0.46625
      0.136237   0.14019   0.14874   0.17948   0.24144   0.33196   0.42114   0.45958
      0.177214   0.13485   0.14320   0.17336   0.23451   0.32420   0.41279   0.45103
      0.230103   0.12807   0.13615   0.16557   0.22567   0.31429   0.40213   0.44010
      0.298088   0.11954   0.12728   0.15575   0.21451   0.30176   0.38862   0.42625
      0.385020   0.10893   0.11623   0.14350   0.20055   0.28605   0.37166   0.40887
      0.495427   0.09595   0.10270   0.12844   0.18333   0.26661   0.35064   0.38730
      0.634452   0.08036   0.08642   0.11025   0.16244   0.24294   0.32499   0.36096
      0.807620   0.06209   0.06729   0.08875   0.13760   0.21466   0.29425   0.32937
      1.020410   0.04133   0.04547   0.06403   0.10880   0.18166   0.25823   0.29232
      1.277532   0.01859   0.02144   0.03650   0.07638   0.14419   0.21714   0.24997
      1.581923  -0.00522  -0.00393   0.00697   0.04110   0.10296   0.17161   0.20296
      1.933512  -0.02870  -0.02928  -0.02329   0.00421   0.05920   0.12286   0.15247
